"radio_id","escuela_id","tiempo_min"
"13","32",143.7
"13","33",143.7
"13","34",137.3
"13","35",137.5
"13","36",8.7
"13","37",147.8
"13","38",8.8
"13","39",8.8
"13","40",135.9
"13","41",145.7
"13","42",145.9
"13","43",144.5
"13","44",134.2
"13","45",148
"13","46",144.1
"13","47",145
"13","48",144.9
"13","49",144.9
"13","50",144.9
"13","51",131
"13","52",131
"13","53",129.5
"13","54",138
"13","55",138
"13","56",138
"13","57",138
"13","58",138
"13","59",138
"13","60",138
"13","61",138
"13","62",138
"13","63",138
"13","64",138
"13","65",138
"13","66",138
"13","67",145.7
"13","68",147.8
"13","69",5.5
"13","70",5.5
"13","71",143.1
"13","72",4.2
"13","73",10.8
"13","74",140.1
"14","1",8.6
"14","2",8.6
"14","3",6.7
"14","4",6.7
"14","5",6.7
"14","6",7.4
"14","7",7.4
"14","8",7.4
"14","9",7.4
"14","10",7.4
"14","11",7.4
"14","12",7.4
"14","13",7.4
"14","14",10.4
"14","15",10.4
"14","16",10.4
"14","17",148.9
"14","18",148.9
"14","19",148.9
"14","20",142.7
"14","21",142.7
"14","22",145.4
"14","23",131.5
"14","24",131.5
"14","25",131.5
"14","26",131.5
"14","27",144.1
"14","28",149.6
"14","29",134.9
"14","30",134.9
"14","31",130.2
"14","32",141.1
"14","33",141.1
"14","34",134.8
"14","35",134.9
"14","36",11.5
"14","37",146
"14","38",7.7
"14","39",7.7
"14","40",134.1
"14","41",143.9
"14","42",143.3
"14","43",142
"14","44",132.4
"14","45",145.4
"14","46",141.5
"14","47",143.2
"14","48",142.3
"14","49",142.3
"14","50",142.3
"14","51",128.5
"14","52",128.5
"14","53",127.7
"14","54",136.2
"14","55",136.2
"14","56",136.2
"14","57",136.2
"14","58",136.2
"14","59",136.2
"14","60",136.2
"14","61",136.2
"14","62",136.2
"14","63",136.2
"14","64",136.2
"14","65",136.2
"14","66",136.2
"14","67",143.2
"14","68",146
"14","69",3
"14","70",3
"14","71",141.3
"14","72",1.7
"14","73",13.5
"14","74",137.5
"15","1",8.6
"15","2",8.6
"15","3",6.7
"15","4",6.7
"15","5",6.7
"15","6",7.4
"15","7",7.4
"15","8",7.4
"15","9",7.4
"15","10",7.4
"15","11",7.4
"15","12",7.4
"15","13",7.4
"15","14",10.4
"15","15",10.4
"15","16",10.4
"15","17",148.9
"15","18",148.9
"15","19",148.9
"15","20",142.7
"15","21",142.7
"15","22",145.4
"15","23",131.5
"15","24",131.5
"15","25",131.5
"15","26",131.5
"15","27",144.1
"15","28",149.6
"15","29",134.9
"15","30",134.9
"15","31",130.2
"15","32",141.1
"15","33",141.1
"15","34",134.8
"15","35",134.9
"15","36",11.5
"15","37",146
"15","38",7.7
"15","39",7.7
"15","40",134.1
"15","41",143.9
"15","42",143.3
"15","43",142
"15","44",132.4
"15","45",145.4
"15","46",141.5
"15","47",143.2
"15","48",142.3
"15","49",142.3
"15","50",142.3
"15","51",128.5
"15","52",128.5
"15","53",127.7
"15","54",136.2
"15","55",136.2
"15","56",136.2
"15","57",136.2
"15","58",136.2
"15","59",136.2
"15","60",136.2
"15","61",136.2
"15","62",136.2
"15","63",136.2
"15","64",136.2
"15","65",136.2
"15","66",136.2
"15","67",143.2
"15","68",146
"15","69",3
"15","70",3
"15","71",141.3
"15","72",1.7
"15","73",13.5
"15","74",137.5
"16","1",9.7
"16","2",9.7
"16","3",7.7
"16","4",7.7
"16","5",7.7
"16","6",5.4
"16","7",5.4
"16","8",5.4
"16","9",5.4
"16","10",5.4
"16","11",5.4
"16","12",5.4
"16","13",5.4
"16","14",8.3
"16","15",8.3
"16","16",8.3
"16","17",149.9
"16","18",149.9
"16","19",149.9
"16","20",143.7
"16","21",143.7
"16","22",146.5
"16","23",132.5
"16","24",132.5
"16","25",132.5
"16","26",132.5
"16","27",145.1
"16","28",150.7
"16","29",135.9
"16","30",135.9
"16","31",130.8
"16","32",142.1
"16","33",142.1
"16","34",135.8
"16","35",135.9
"16","36",9.4
"16","37",146.5
"16","38",8
"16","39",8
"16","40",134.6
"16","41",144.5
"16","42",144.4
"16","43",143
"16","44",133
"16","45",146.4
"16","46",142.6
"16","47",143.7
"16","48",143.4
"16","49",143.4
"16","50",143.4
"16","51",129.5
"16","52",129.5
"16","53",128.3
"16","54",136.7
"16","55",136.7
"16","56",136.7
"16","57",136.7
"16","58",136.7
"16","59",136.7
"16","60",136.7
"16","61",136.7
"16","62",136.7
"16","63",136.7
"16","64",136.7
"16","65",136.7
"16","66",136.7
"16","67",144.2
"16","68",146.6
"16","69",4
"16","70",4
"16","71",141.8
"16","72",2.7
"16","73",11.5
"16","74",138.6
"17","1",138
"17","2",138
"17","3",139.2
"17","4",139.2
"17","5",139.2
"17","6",137.5
"17","7",137.5
"17","8",137.5
"17","9",137.5
"17","10",137.5
"17","11",137.5
"17","12",137.5
"17","13",137.5
"17","14",143.1
"17","15",143.1
"17","16",143.1
"17","17",243
"17","18",243
"17","19",243
"17","20",242.9
"17","21",242.9
"17","22",239.7
"17","23",239.2
"17","24",239.2
"17","25",239.2
"17","26",239.2
"17","27",238.2
"17","28",243.8
"17","29",229.6
"17","30",229.6
"17","31",9.7
"17","32",239
"17","33",239
"17","34",242.4
"17","35",232.1
"17","36",141.5
"17","37",11.2
"17","38",134.8
"17","39",134.8
"17","40",5.8
"17","41",13.9
"17","42",240.5
"17","43",239.1
"17","44",7.4
"17","45",243.7
"17","46",232.3
"17","47",13
"17","48",239.5
"17","49",239.5
"17","50",239.5
"17","51",231.3
"17","52",231.3
"17","53",11.1
"17","54",5.5
"17","55",5.5
"17","56",5.5
"17","57",5.5
"17","58",5.5
"17","59",5.5
"17","60",5.5
"17","61",5.5
"17","62",5.5
"17","63",5.5
"17","64",5.5
"17","65",5.5
"17","66",5.5
"17","67",240.4
"17","68",11.5
"17","69",137.8
"17","70",137.8
"17","71",2.3
"17","72",138.7
"17","73",146.2
"17","74",234.3
"18","1",138
"18","2",138
"18","3",139.2
"18","4",139.2
"18","5",139.2
"18","6",137.5
"18","7",137.5
"18","8",137.5
"18","9",137.5
"18","10",137.5
"18","11",137.5
"18","12",137.5
"18","13",137.5
"18","14",143.1
"18","15",143.1
"18","16",143.1
"18","17",243
"18","18",243
"18","19",243
"18","20",242.9
"18","21",242.9
"18","22",239.7
"18","23",239.2
"18","24",239.2
"18","25",239.2
"18","26",239.2
"18","27",238.2
"18","28",243.8
"18","29",229.6
"18","30",229.6
"18","31",9.7
"18","32",239
"18","33",239
"18","34",242.4
"18","35",232.1
"18","36",141.5
"18","37",11.2
"18","38",134.8
"18","39",134.8
"18","40",5.8
"18","41",13.9
"18","42",240.5
"18","43",239.1
"18","44",7.4
"18","45",243.7
"18","46",232.3
"18","47",13
"18","48",239.5
"18","49",239.5
"18","50",239.5
"18","51",231.3
"18","52",231.3
"18","53",11.1
"18","54",5.5
"18","55",5.5
